"","ID","Date","Block","Primary.Type","Description","X.Coordinate","Y.Coordinate","Year","Latitude","Longitude","Location"
"142212",9183282,"06/20/2013 04:00:00 PM","064XX S GREENWOOD AVE","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1184420,1862451,2013,41.7777337789711,-87.5994578369088,"(41.777733778971076, -87.5994578369088)"
"142460",9182979,"06/20/2013 11:30:00 AM","048XX S ELIZABETH ST","OFFENSE INVOLVING CHILDREN","CHILD ABUSE",1168852,1872537,2013,41.8057613356725,-87.6562389740873,"(41.80576133567245, -87.65623897408734)"
"142784",9182780,"06/19/2013 11:55:00 PM","052XX S DREXEL AVE","OFFENSE INVOLVING CHILDREN","CHILD ABUSE",1183094,1870423,2013,41.7996405901469,-87.6040710238962,"(41.79964059014686, -87.60407102389622)"
"142816",9183751,"06/19/2013 11:00:00 PM","052XX S CENTRAL AVE","OFFENSE INVOLVING CHILDREN","CHILD ABUSE",1139951,1869455,2013,41.7978797003383,-87.7623133524661,"(41.79787970033834, -87.7623133524661)"
"142844",9181645,"06/19/2013 10:13:00 PM","003XX S CAMPBELL AVE","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1159841,1898127,2013,41.8761731743145,-87.6885834448302,"(41.87617317431454, -87.68858344483023)"
"142987",9188516,"06/19/2013 07:30:00 PM","037XX W DOUGLAS BLVD","OFFENSE INVOLVING CHILDREN","CHILD ABDUCTION",1151799,1893241,2013,41.8629274197106,-87.7182396065868,"(41.86292741971062, -87.71823960658678)"
"143060",9182457,"06/19/2013 06:00:00 PM","012XX W ERIE ST","OFFENSE INVOLVING CHILDREN","ENDANGERING LIFE/HEALTH CHILD",1167873,1904453,2013,41.8933628273903,-87.6589102562613,"(41.893362827390305, -87.65891025626134)"
"143360",9181092,"06/19/2013 12:03:00 PM","051XX S UNION AVE","OFFENSE INVOLVING CHILDREN","CHILD ABUSE",1172471,1870717,2013,41.8006880652084,-87.6430195177613,"(41.800688065208405, -87.64301951776129)"
"143527",9180460,"06/19/2013 08:25:00 AM","018XX W NELSON ST","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1163371,1920316,2013,41.9369878865121,-87.6749972410726,"(41.93698788651215, -87.6749972410726)"
"143777",9179950,"06/18/2013 09:21:00 PM","010XX E 75TH ST","OFFENSE INVOLVING CHILDREN","ENDANGERING LIFE/HEALTH CHILD",1184425,1855534,2013,41.7587527641025,-87.599655811403,"(41.75875276410251, -87.599655811403)"
"143852",9192913,"06/18/2013 08:00:00 PM","053XX S NEWLAND AVE","OFFENSE INVOLVING CHILDREN","CRIM SEX ABUSE BY FAM MEMBER",1130996,1868447,2013,41.7952721072711,-87.795176744303,"(41.795272107271146, -87.79517674430305)"
"144023",9179914,"06/18/2013 05:27:00 PM","020XX E 75TH ST","OFFENSE INVOLVING CHILDREN","ENDANGERING LIFE/HEALTH CHILD",1191419,1855609,2013,41.7587920286142,-87.5740212451602,"(41.75879202861418, -87.57402124516021)"
"144066",9179958,"06/18/2013 04:32:00 PM","065XX N ARTESIAN AVE","OFFENSE INVOLVING CHILDREN","ENDANGERING LIFE/HEALTH CHILD",1158837,1943358,2013,42.0003106372857,-87.6910254842792,"(42.00031063728573, -87.69102548427918)"
