School,Latitude,Longitude
South Shore,41.7678131,-87.5910254
Tilton,41.8832058,-87.738006
Tilton,41.883242,-87.7355524
Tilton,41.8846174,-87.7306809
Wadsworth,41.776811,-87.6015927
Wadsworth,41.7749957,-87.6021528
Wadsworth,41.7732009,-87.6008918
Wadsworth,41.7732025,-87.5984737
Wadsworth,41.7732274,-87.5960435
Wadsworth,41.7750149,-87.5996972
Wadsworth,41.7768357,-87.5985662
L. Ward,41.889882,-87.7234851
L. Ward,41.8899006,-87.7210298
L. Ward,41.8899238,-87.7185816
L. Ward,41.8935887,-87.7187002
L. Ward,41.8917661,-87.7174273
L. Ward,41.8936198,-87.7162529
L. Ward,41.8899719,-87.7163432
Wells,41.8274331,-87.6192437
Wells,41.8273979,-87.6216849
Wells,41.8255735,-87.6216348
Wentworth,41.7649949,-87.6573512
Wentworth,41.7650263,-87.6553214
Wentworth,41.7650669,-87.6529037
Wentworth,41.7651293,-87.6492537
Wentworth,41.7651597,-87.6468406
Wentworth,41.7651943,-87.6444101
Wentworth,41.766868,-87.6541733
Wentworth,41.7669573,-87.6481025
